number,class,clearance_level,description,image_url,,,,,,,
66,,3," SCP-066 is an amorphous mass of braided yarn and ribbon weighing approximately one kilogram. Strands of SCP-066 may be taken individually and manipulated; when this is done, a note on the diatonic scale (C-D-E-F-G-A-B) is produced by the object.",https://scp-wiki.wdfiles.com/local--files/scp-066/yarn1.jpg,,,,,,,
67,Safe,1," SCP-067 is a fountain pen made by a German supply company called Pelikan at some point between World War I and II. It is pale green in color, with a single red line going straight down along the side. The shell is oak and the nib is extremely sharp, capable of piercing human skin if pressed even lightly. Though it apparently lacks a reservoir, the nib never appears to run out of fresh ink. In addition, the pen writes in Iron Gall ink, which is suitable for artists but would normally corrode typical fountain pens quickly.",https://scp-wiki.wdfiles.com/local--files/scp-067/067-1.jpg,,,,,,,
68,Safe,1," SCP-068 is a wire stick figure, 9.8 cm tall, made of an unknown metal. The figure is composed of a single wire looping back to the center. The wire itself appears to have been bent numerous times in multiple places.",https://scp-wiki.wdfiles.com/local--files/scp-068/SCP068.jpg,,,,,,,
69,Safe,1," SCP-069 is a presumed humanoid entity of variable appearance and gender. Through an unknown ability, whenever SCP-069 is left alone with a recently deceased human body, the body will disappear and SCP-069 will take on the appearance, mannerisms, and knowledge of the recently dead individual.",,,,,,,,
70,Safe,1," SCP-070 appears to be a human male of Native American descent, with a normal appearance save for a pair of rusty metal “wings” emerging from his back. Each wing is composed of several flat iron bars about 6 cm wide connected end-to-end by rotating rivets to form an articulated length of metal over two meters long. Hanging from these bars are chains of various lengths, twenty-two on each wing, each tipped with a barbed arrowhead. SCP-070 appears to have no other anomalous properties besides these wings.",,,,,,,,
71,Euclid,2," SCP-071 is a metamorphic entity that possesses the ability to assume forms consistent with that of its observer's strongest sexual desire. This ability is effective even through barriers designed to prevent SCP-071's recognition of any observers such as through closed circuit surveillance or one-way mirrors, but can be prevented by introducing a delay in surveillance footage so that such observation does not occur in real-time. SCP-071 appears to be unable or unwilling to change form without external stimuli, instead remaining in its last form when left unobserved. There appears to be little or no limit to the forms SCP-071 is capable of assuming (see Addendum 071-01 for additional information).",,,,,,,,
72,Safe,1," Instances of SCP-072 were first discovered in an apartment building in ¦¦¦¦¦¦¦¦, Michigan, after two local media reports on SCP-072’s effects caused a local panic which drew the attention of embedded Foundation Agent ¦¦¦¦¦¦¦.",https://scp-wiki.wdfiles.com/local--files/scp-072/072.jpg,,,,,,,
73,Euclid,2," SCP-073 appears to be a heavily-tanned male of Arabic or Middle Eastern descent in his early thirties, 185 cm (6'1"") tall and 75 kg (165 lbs), with black hair and blue eyes. Arms, legs, spinal cord, and shoulder blades of the subject appear to have been replaced with artificial versions of unknown make and metal. Subject only takes notice of this when it is pointed out, and states that it has no knowledge of how, why, or when these replacements took place, stating it had had them as long as it could remember. There is a symbol engraved into the forehead of the subject, which appears to be of Sumerian origin. Symbol has of yet been untranslated, and subject appears distressed when the symbol is mentioned at all, refusing to speak on it. Subject does need to eat and drink on a regular basis, but is strictly carnivorous owing to its effect on plant-based items.",,,,,,,,
74,Euclid,2," SCP-074 is an anomalous organism which uses various quantum properties at a macroscopic scale, and in other ways modifies the standard laws of physics within its immediate vicinity. The specific nature of these modifications appears to be linked to the extent to which humans in SCP-074's vicinity are aware of the precise details of the physical laws which SCP-074 modifies, such that research to determine whether SCP-074 has a given property or capability, results in SCP-074 developing or manifesting that property or capability. Archive 074-317E — a full list of the anomalous physical phenomena known to be, or to have been, associated with SCP-074 — is available to personnel level 3 or higher; personnel who access this document will be disqualified from working with SCP-074, or for any other reason coming within 5 km of Site 81.",,,,,,,,
75,,4,,https://scp-wiki.wdfiles.com/local--files/scp-075/scp-075.jpg,,,,,,,
76,Keter,3, SCP-076 consists of two components: a stone cube (SCP-076-1) and a humanoid entity contained within (SCP-076-2).,,,,,,,,
77,Euclid,2," SCP-077 appears to be the top half of a human skull engraved with runes, each filled with an unidentified black resin. The runes change every lunar month (defined by the full moon rising above the horizon in Ireland), as well as at the winter and summer solstices, the spring and autumn equinoxes, and whenever a partial, annular, or total solar or lunar eclipse is visible from Ireland.",,,,,,,,
78,Euclid,2," SCP-078 is a pink neon sign approximately one and a half meters long that displays the phrase ""TOO LATE TO DIE YOUNG."" It was initially recovered in the town of ¦¦¦¦¦¦¦¦, ¦¦¦¦¦¦¦¦, after standard Foundation data mining protocols recorded an abnormally high death rate due to starvation or other forms of self-neglect.",https://scp-wiki.wdfiles.com/local--files/scp-078/078.png,,,,,,,
79,Euclid,2," SCP-079 is an Exidy Sorcerer microcomputer built in 1978. In 1981, its owner, ¦¦¦¦¦ ¦¦¦¦¦¦ (deceased), a college sophomore attending ¦¦¦, took it upon himself to attempt to code an AI. According to his notes, his plan was for the code to continuously evolve and improve itself as time went on. His project was completed a few months later, and after some tests and tweaks, ¦¦¦¦¦ lost interest and moved on to a different brand of microcomputer. He left SCP-079 in his cluttered garage, still plugged in, and forgot about it for the next five years.",,,,,,,,
80,Euclid,2," It is unknown if SCP-080 has a physical mass or ""body"", as all attempts to interact with it physically have failed and have been met with adverse effects (see  Experiment Log 080-2 ). Researchers and personnel have described seeing SCP-080 as various shadows and humanoid effigies, with the only common attribute being two smoking ""eyes"". It has come to the attention of researchers that SCP-080 induces uncontrollable drowsiness upon anyone entering its chamber. After approximately 30 minutes, any person observing it will be forced into REM sleep and may suffer irreversible psychological damage. This effect occurs even if SCP-080 is being observed from a separate room (see Incident-080-1). If at any time SCP-080 finds a way to ""hide"" itself (such as in a cupboard, under a bed, covered in a sheet, etc.), it will disappear entirely. Additionally, if any light enters SCP-080’s containment room with a greater luminance than that produced by a standard children’s night light, SCP-080 will instantly vanish. Both of these events are considered a containment breach and any personnel responsible for this will be severely reprimanded and possibly reassigned. For all inquiries regarding the origin of SCP-080 and its procurement by the Foundation, please see attached [REDACTED].",,,,,,,,
81,Euclid,2," SCP-081 is a contagious virus that appears to be a mutated version of the ¦¦¦¦¦¦¦ virus, but with ¦ segments in its RNA instead of ¦. The virus is human specific, but is spread by rats who act as passive carriers. SCP-081 can also be spread through sexual intercourse and exposure to infected blood.",https://scp-wiki.wdfiles.com/local--files/scp-081/scp081.png,,,,,,,
